pipedrive_org_id,pipedrive_org_name,source_name,category,original_url,normalized_url,url_cleanup_reason
1258,Drury Body Shop,Drury - Moss Collision,name_review,https://drurybodyshop.com/amarillo-collision-repair/,drurybodyshop.com/amarillo-collision-repair,scheme-www-or-trailing-slash-normalization
1265,Elite Auto Collision - Athens,Classic Collision,name_review,https://classiccollision.com/locations/classic-collision-athens/,classiccollision.com/locations/classic-collision-athens,scheme-www-or-trailing-slash-normalization
1306,Fitzgerald Auto Group [Main],Caliber Collision,name_review,https://www.caliber.com/find-a-location/monroeville%3Futm_source%3Dgoogle%26utm_medium%3Dgbp-profile%26utm_campaign%3Dwebform-GBPwebsite%26utm_content%3D%26utm_term%3D%26utm_id%3D0966,caliber.com/find-a-location/monroeville%3futm_source%3dgoogle%26utm_medium%3dgbp-profile%26utm_campaign%3dwebform-gbpwebsite%26utm_content%3d%26utm_term%3d%26utm_id%3d0966,tracking-or-encoded-url
1309,Fix Auto Chicago,Fix Auto Chicago,existing_conflict,https://fixautousa.com/locations/illinois/chicago/,fixautousa.com/locations/illinois/chicago,scheme-www-or-trailing-slash-normalization
1312,Fix Auto Sun Valley,Maven Autobody,name_review,https://www.mavenautobody.com/,mavenautobody.com,scheme-www-or-trailing-slash-normalization
1316,Forrest Auto Body,Forrest Auto Body,existing_conflict,https://www.forrestautobodyme.com/,forrestautobodyme.com,scheme-www-or-trailing-slash-normalization
1318,Frank's Accurate Body Shop,Joe Hudson's Collision Center,name_review,https://jhcc.com/locations/auto-body-shop-slidell-la/,jhcc.com/locations/auto-body-shop-slidell-la,scheme-www-or-trailing-slash-normalization
1330,Joe Hudson's Collision Center (formerly Gilmore's Collision Center),Joe Hudson's Collision Center,name_review,https://jhcc.com/locations/auto-body-shop-wichita-falls/%3Futm_source%3Dgmb%26utm_medium%3DYext%26y_source%3D1_MjQxMzAyMzEtNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,jhcc.com/locations/auto-body-shop-wichita-falls/%3futm_source%3dgmb%26utm_medium%3dyext%26y_source%3d1_mjqxmzaymzetnze1lwxvy2f0aw9ulndlynnpdgu%253d,tracking-or-encoded-url
1335,CARSTAR - Gobel's Collision,CARSTAR Gobel's Collision,name_review,https://www.carstar.com/locations/mo/west-plains-15516/,carstar.com/locations/mo/west-plains-15516,scheme-www-or-trailing-slash-normalization
1338,Golden West Collision Center,Golden West Collision Center,existing_conflict,http://www.goldenwestcollision.com/%3Fy_source%3D1_MTE5MjU4MDYtNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,goldenwestcollision.com/%3fy_source%3d1_mte5mju4mdytnze1lwxvy2f0aw9ulndlynnpdgu%253d,tracking-or-encoded-url
1351,Lexus of Pembroke Pines Collision Center,Zinn Collision Center at Pembroke Pines,name_review,https://www.craigzinncollisioncenters.com/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgmb-service,craigzinncollisioncenters.com/%3futm_source%3dgoogle%26utm_medium%3dorganic%26utm_campaign%3dgmb-service,tracking-or-encoded-url
1355,Lindsay Collision Center,Lindsay Collision Center Springfield,name_review,https://www.lindsaycollision.com/collision-repair-springfield/,lindsaycollision.com/collision-repair-springfield,scheme-www-or-trailing-slash-normalization
1364,Mackin's Auto Body,Mackin's Auto Body East Vancouver,name_review,https://www.mackinsab.com/locations/east-vancouver/%3Futm_source%3Dgooglebusinessprofile%26utm_medium%3Dorganic%26utm_campaign%3Dgbpwebsitelink,mackinsab.com/locations/east-vancouver/%3futm_source%3dgooglebusinessprofile%26utm_medium%3dorganic%26utm_campaign%3dgbpwebsitelink,tracking-or-encoded-url
1365,"Mahnke Auto Body, Inc",Kaizen Collision Center - Arvada,name_review,https://kaizencollision.com/locations/body-shop-arvada-co/,kaizencollision.com/locations/body-shop-arvada-co,scheme-www-or-trailing-slash-normalization
1368,Manuel Collision Center,Joe Hudson's Collision Center,name_review,https://jhcc.com/locations/auto-body-shop-ada-ok/,jhcc.com/locations/auto-body-shop-ada-ok,scheme-www-or-trailing-slash-normalization
1376,Master Collision Group,"LaMettry's Collision, Inc. of South Minneapolis",name_review,https://www.lamettrys.com/south-minneapolis-location/,lamettrys.com/south-minneapolis-location,scheme-www-or-trailing-slash-normalization
1380,McDonald Collision,McDonald Collision,existing_conflict,https://mcdonaldcollision.com/%3Fy_source%3D1_MTYzMTU4ODEtNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,mcdonaldcollision.com/%3fy_source%3d1_mtyzmtu4odetnze1lwxvy2f0aw9ulndlynnpdgu%253d,tracking-or-encoded-url
1386,Meramec Heights Collision Center,Gerber Collision & Glass,name_review,https://www.gerbercollision.com/locations/arnold-mo%3Futm_source%3DSEO_Local%26utm_medium%3DSEO_Local_Snack_Pack%26utm_campaign%3DMO%26utm_content%3DArnold,gerbercollision.com/locations/arnold-mo%3futm_source%3dseo_local%26utm_medium%3dseo_local_snack_pack%26utm_campaign%3dmo%26utm_content%3darnold,tracking-or-encoded-url
1403,Morse Evergreen Auto Body,CARSTAR Morse Evergreen Auto Body,name_review,https://www.carstar.com/locations/co/evergreen-15810/,carstar.com/locations/co/evergreen-15810,scheme-www-or-trailing-slash-normalization
1409,Maaco Auto Body Shop & Painting,Maaco Auto Body Shop & Painting,existing_conflict,https://www.maaco.com/locations/tx/new-braunfels-12741/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgbp_website,maaco.com/locations/tx/new-braunfels-12741/%3futm_source%3dgoogle%26utm_medium%3dorganic%26utm_campaign%3dgbp_website,tracking-or-encoded-url
1415,Noaker's Auto Body,Noaker’s Auto Body,name_review,https://www.vivecollision.com/shop/noakersautobody/,vivecollision.com/shop/noakersautobody,scheme-www-or-trailing-slash-normalization
1423,Northwest Arkansas Collision Center [Main]/Gerber Collision & Glass,Gerber Collision & Glass,name_review,https://www.gerbercollision.com/locations/farmington-ar%3Futm_source%3DSEO_Local%26utm_medium%3DSEO_Local_Snack_Pack%26utm_campaign%3DAR%26utm_content%3DFarmington,gerbercollision.com/locations/farmington-ar%3futm_source%3dseo_local%26utm_medium%3dseo_local_snack_pack%26utm_campaign%3dar%26utm_content%3dfarmington,tracking-or-encoded-url
